epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.1828,1.13176,1.97786,1.4384,0.23463,0.3208,0.24444,0.20536,0.88096,1.3928,1.29069,0.000368527,0.000368527,0.000368527
2,103.498,0.82034,1.19825,1.23937,0.3193,0.45889,0.35166,0.30327,0.76843,1.07668,1.20447,0.000731545,0.000731545,0.000731545
3,141.782,0.74868,1.03131,1.19026,0.40134,0.52113,0.44487,0.39171,0.70187,0.91033,1.15913,0.00108723,0.00108723,0.00108723
4,177.729,0.70226,0.90643,1.1555,0.47076,0.57377,0.50967,0.45096,0.6881,0.84038,1.1415,0.001078,0.001078,0.001078
5,213.91,0.66937,0.79754,1.13043,0.55939,0.61971,0.6155,0.54945,0.65019,0.75177,1.11462,0.001067,0.001067,0.001067
6,250.04,0.63915,0.71826,1.10849,0.68276,0.64624,0.69641,0.62982,0.62993,0.6875,1.10055,0.00105601,0.00105601,0.00105601
7,285.142,0.61835,0.64878,1.08978,0.68006,0.6461,0.71925,0.65482,0.61283,0.671,1.09835,0.00104501,0.00104501,0.00104501
8,320.253,0.59713,0.59699,1.07344,0.78511,0.68789,0.78763,0.71884,0.59534,0.60269,1.07538,0.00103401,0.00103401,0.00103401
9,355.239,0.57859,0.54863,1.05924,0.80421,0.69716,0.80107,0.73429,0.58316,0.58904,1.07288,0.00102301,0.00102301,0.00102301
10,390.197,0.56473,0.51646,1.04939,0.77585,0.74442,0.81948,0.75278,0.56402,0.55591,1.05703,0.00101201,0.00101201,0.00101201
11,425.403,0.55062,0.4884,1.03829,0.8249,0.77437,0.85791,0.79228,0.55305,0.53695,1.0477,0.00100101,0.00100101,0.00100101
12,460.414,0.53866,0.46899,1.02877,0.82395,0.78408,0.86215,0.79527,0.54455,0.52637,1.0438,0.000990012,0.000990012,0.000990012
13,495.184,0.52898,0.45003,1.02115,0.85032,0.78841,0.87154,0.80713,0.53464,0.49178,1.03055,0.000979013,0.000979013,0.000979013
14,529.62,0.51805,0.43157,1.01422,0.8769,0.80322,0.89494,0.8334,0.52742,0.49287,1.0279,0.000968014,0.000968014,0.000968014
15,564.197,0.5074,0.41098,1.00677,0.87342,0.80961,0.8912,0.82897,0.51784,0.47181,1.02197,0.000957015,0.000957015,0.000957015
16,598.724,0.49944,0.40351,1.00097,0.86716,0.81034,0.8934,0.83315,0.51535,0.47848,1.02296,0.000946016,0.000946016,0.000946016
17,633.226,0.49269,0.39122,0.99696,0.88513,0.82444,0.90736,0.84901,0.5066,0.45987,1.01441,0.000935018,0.000935018,0.000935018
18,668.027,0.48223,0.38006,0.98952,0.89418,0.82748,0.91411,0.85336,0.50288,0.45232,1.01225,0.000924019,0.000924019,0.000924019
19,702.778,0.47718,0.36742,0.98551,0.88641,0.81951,0.91399,0.8538,0.4989,0.45368,1.01019,0.00091302,0.00091302,0.00091302
20,737.41,0.4699,0.35933,0.98037,0.91341,0.81159,0.91415,0.8593,0.49042,0.44552,1.00819,0.000902021,0.000902021,0.000902021
21,772.007,0.46669,0.3575,0.98003,0.8937,0.84899,0.91922,0.86339,0.48502,0.44614,1.00357,0.000891022,0.000891022,0.000891022
22,806.64,0.45912,0.34645,0.97606,0.8944,0.85503,0.92866,0.87384,0.47909,0.43235,0.99487,0.000880023,0.000880023,0.000880023
23,841.223,0.45423,0.3387,0.97075,0.88278,0.84759,0.92319,0.86984,0.47803,0.43813,1.00011,0.000869024,0.000869024,0.000869024
24,875.752,0.44657,0.33261,0.96664,0.89813,0.84896,0.92373,0.87061,0.47033,0.42484,0.99385,0.000858025,0.000858025,0.000858025
25,910.127,0.44258,0.32561,0.9629,0.91283,0.8566,0.93088,0.87924,0.46557,0.41989,0.99182,0.000847026,0.000847026,0.000847026
26,944.507,0.43674,0.31824,0.95966,0.92156,0.85037,0.92943,0.87998,0.46199,0.42839,0.99098,0.000836027,0.000836027,0.000836027
27,978.953,0.43356,0.3146,0.95767,0.89487,0.8553,0.92829,0.87647,0.46026,0.41851,0.98611,0.000825029,0.000825029,0.000825029
28,1013.3,0.42753,0.31214,0.95318,0.90975,0.85516,0.9353,0.88434,0.45556,0.41198,0.98861,0.00081403,0.00081403,0.00081403
29,1047.8,0.42613,0.3064,0.95291,0.9035,0.85386,0.92872,0.88073,0.45477,0.40739,0.98311,0.000803031,0.000803031,0.000803031
30,1082.14,0.42245,0.3043,0.95111,0.90839,0.86924,0.93905,0.89171,0.45057,0.39972,0.98152,0.000792032,0.000792032,0.000792032
31,1116.35,0.4187,0.29725,0.94791,0.90665,0.8479,0.93335,0.8866,0.44806,0.41034,0.97768,0.000781033,0.000781033,0.000781033
32,1150.58,0.41257,0.29356,0.94406,0.92632,0.86466,0.93568,0.88994,0.44454,0.40342,0.97664,0.000770034,0.000770034,0.000770034
33,1184.81,0.40954,0.29054,0.94338,0.9261,0.85838,0.9323,0.88958,0.43923,0.40852,0.97739,0.000759035,0.000759035,0.000759035
34,1219.19,0.40495,0.2849,0.93941,0.92007,0.86385,0.93777,0.89345,0.43771,0.38946,0.97566,0.000748036,0.000748036,0.000748036
35,1253.68,0.40438,0.28768,0.94082,0.91417,0.87057,0.93762,0.89321,0.43521,0.39794,0.97608,0.000737037,0.000737037,0.000737037
36,1288.09,0.39959,0.28112,0.93636,0.9101,0.87902,0.93913,0.89748,0.43265,0.39061,0.977,0.000726038,0.000726038,0.000726038
37,1322.2,0.39825,0.28172,0.93741,0.91211,0.87269,0.93439,0.89114,0.434,0.39915,0.9767,0.00071504,0.00071504,0.00071504
38,1356.28,0.39449,0.27711,0.93417,0.91844,0.86634,0.93656,0.89483,0.43031,0.39003,0.97335,0.000704041,0.000704041,0.000704041
39,1390.67,0.3888,0.27119,0.93204,0.9167,0.86547,0.93614,0.89514,0.42917,0.38866,0.97133,0.000693042,0.000693042,0.000693042
40,1424.8,0.38513,0.26715,0.92871,0.93141,0.86083,0.93792,0.89622,0.42499,0.3931,0.97187,0.000682043,0.000682043,0.000682043
41,1459.18,0.38353,0.26438,0.92834,0.91842,0.879,0.94038,0.90168,0.42174,0.39577,0.96915,0.000671044,0.000671044,0.000671044
42,1493.91,0.38101,0.26434,0.92758,0.93493,0.85919,0.93963,0.90121,0.42143,0.39271,0.96793,0.000660045,0.000660045,0.000660045
43,1528.62,0.37853,0.26123,0.92565,0.91529,0.89274,0.94789,0.90889,0.42008,0.3766,0.96587,0.000649046,0.000649046,0.000649046
44,1563,0.37709,0.2599,0.92495,0.93147,0.87354,0.94201,0.90551,0.41422,0.37953,0.9659,0.000638047,0.000638047,0.000638047
45,1597.58,0.37233,0.25696,0.9215,0.91965,0.88258,0.94243,0.90479,0.41402,0.38051,0.96638,0.000627048,0.000627048,0.000627048
46,1631.79,0.36939,0.25347,0.92097,0.9198,0.88359,0.93797,0.90189,0.41371,0.38489,0.96522,0.000616049,0.000616049,0.000616049
47,1666.24,0.36789,0.25432,0.92041,0.9193,0.88369,0.94024,0.90304,0.41129,0.38046,0.9651,0.000605051,0.000605051,0.000605051
48,1700.37,0.36437,0.24921,0.91781,0.91922,0.88355,0.94117,0.90493,0.40972,0.38624,0.96514,0.000594052,0.000594052,0.000594052
49,1734.77,0.36535,0.24979,0.9187,0.93196,0.8773,0.94252,0.90848,0.40588,0.38025,0.96283,0.000583053,0.000583053,0.000583053
50,1769.29,0.36081,0.24505,0.91658,0.90635,0.90055,0.94464,0.91,0.40586,0.37382,0.96365,0.000572054,0.000572054,0.000572054
51,1803.74,0.35748,0.24298,0.91421,0.91348,0.87804,0.9405,0.90528,0.40852,0.39151,0.96793,0.000561055,0.000561055,0.000561055
52,1837.89,0.35731,0.24358,0.91419,0.92491,0.88677,0.94296,0.90768,0.40393,0.38145,0.96323,0.000550056,0.000550056,0.000550056
53,1872.3,0.35347,0.2397,0.91255,0.929,0.88688,0.94551,0.91029,0.40407,0.37174,0.95951,0.000539057,0.000539057,0.000539057
54,1906.5,0.35142,0.24166,0.91136,0.93865,0.87226,0.94221,0.90804,0.40065,0.37793,0.9611,0.000528058,0.000528058,0.000528058
55,1940.59,0.34981,0.23782,0.91037,0.91017,0.90622,0.94717,0.91395,0.3981,0.37148,0.95764,0.000517059,0.000517059,0.000517059
56,1974.55,0.34724,0.23483,0.90918,0.91816,0.8842,0.94251,0.90951,0.39877,0.38792,0.95838,0.00050606,0.00050606,0.00050606
57,2008.65,0.34394,0.22954,0.90685,0.92112,0.88844,0.94492,0.91359,0.39486,0.36866,0.95813,0.000495062,0.000495062,0.000495062
58,2042.95,0.34454,0.23663,0.90847,0.94051,0.87212,0.94262,0.91038,0.3942,0.37021,0.95892,0.000484063,0.000484063,0.000484063
59,2077.23,0.34161,0.23218,0.90694,0.92007,0.89087,0.94397,0.91303,0.39434,0.37401,0.956,0.000473064,0.000473064,0.000473064
60,2111.41,0.3422,0.23314,0.90791,0.93679,0.87581,0.94338,0.9118,0.39217,0.37212,0.95983,0.000462065,0.000462065,0.000462065
61,2145.69,0.33871,0.23236,0.90606,0.91994,0.88751,0.93942,0.90829,0.39264,0.38221,0.95717,0.000451066,0.000451066,0.000451066
62,2180.13,0.34191,0.2499,0.9122,0.92022,0.89426,0.94402,0.91391,0.39013,0.37901,0.96151,0.000440067,0.000440067,0.000440067
63,2214.4,0.33646,0.22917,0.90475,0.91989,0.88932,0.9441,0.91326,0.39202,0.37805,0.95991,0.000429068,0.000429068,0.000429068
64,2249,0.33133,0.22261,0.90114,0.92104,0.88423,0.94243,0.91217,0.38779,0.37433,0.95608,0.000418069,0.000418069,0.000418069
65,2283.92,0.33291,0.22483,0.90339,0.93108,0.88615,0.94261,0.9115,0.3888,0.37731,0.95616,0.00040707,0.00040707,0.00040707
66,2318.09,0.32798,0.21926,0.9001,0.90741,0.90416,0.94231,0.91282,0.38687,0.37455,0.95824,0.000396071,0.000396071,0.000396071
67,2352.57,0.32642,0.22323,0.89988,0.91474,0.89658,0.94248,0.91249,0.38526,0.37458,0.95813,0.000385073,0.000385073,0.000385073
68,2386.77,0.32559,0.21738,0.89864,0.9307,0.88432,0.94244,0.91311,0.3835,0.37396,0.95607,0.000374074,0.000374074,0.000374074
69,2421.4,0.3237,0.21926,0.89787,0.93499,0.88565,0.94187,0.91344,0.38146,0.3772,0.95284,0.000363075,0.000363075,0.000363075
70,2455.69,0.32251,0.21577,0.89831,0.93136,0.88043,0.94456,0.9148,0.3832,0.37306,0.95904,0.000352076,0.000352076,0.000352076
71,2490.32,0.32002,0.21403,0.89675,0.91375,0.89762,0.94534,0.91542,0.38255,0.37686,0.95788,0.000341077,0.000341077,0.000341077
72,2524.42,0.32187,0.23393,0.89926,0.91333,0.89566,0.94103,0.91297,0.38067,0.37527,0.95695,0.000330078,0.000330078,0.000330078
73,2558.67,0.31685,0.21286,0.89475,0.92502,0.88409,0.93866,0.91009,0.38055,0.3767,0.95599,0.000319079,0.000319079,0.000319079
74,2592.82,0.31421,0.21116,0.89412,0.92551,0.88975,0.94173,0.91322,0.37929,0.37715,0.95428,0.00030808,0.00030808,0.00030808
75,2626.88,0.3125,0.20982,0.89326,0.93433,0.88651,0.94066,0.91372,0.37818,0.38273,0.95591,0.000297081,0.000297081,0.000297081
76,2661.04,0.31134,0.2087,0.89242,0.94299,0.87358,0.9404,0.91222,0.37907,0.3783,0.95601,0.000286083,0.000286083,0.000286083
77,2695.35,0.31196,0.20851,0.89193,0.92688,0.88697,0.94162,0.91385,0.37865,0.37607,0.95533,0.000275084,0.000275084,0.000275084
78,2729.71,0.30929,0.20906,0.89254,0.9292,0.88278,0.93923,0.91207,0.37629,0.38258,0.95503,0.000264085,0.000264085,0.000264085
79,2764.17,0.3084,0.20787,0.89154,0.93432,0.88446,0.93836,0.9109,0.37626,0.38056,0.95486,0.000253086,0.000253086,0.000253086
80,2798.63,0.30623,0.20559,0.88984,0.93304,0.88885,0.94161,0.91428,0.37489,0.37756,0.95351,0.000242087,0.000242087,0.000242087
81,2832.75,0.30625,0.20716,0.89092,0.91733,0.89903,0.93846,0.91101,0.37412,0.37868,0.95452,0.000231088,0.000231088,0.000231088
82,2866.83,0.30563,0.21051,0.89125,0.92247,0.89352,0.93947,0.91276,0.37428,0.38181,0.95572,0.000220089,0.000220089,0.000220089
83,2901.21,0.30157,0.20163,0.88799,0.92787,0.88891,0.94128,0.91465,0.37368,0.37597,0.95495,0.00020909,0.00020909,0.00020909
84,2935.28,0.29926,0.19867,0.88699,0.92883,0.89315,0.93876,0.91196,0.37327,0.38214,0.95601,0.000198091,0.000198091,0.000198091
85,2969.41,0.29995,0.20223,0.88782,0.93508,0.88555,0.94102,0.91533,0.37154,0.38392,0.95661,0.000187092,0.000187092,0.000187092
86,3003.58,0.29657,0.19853,0.88696,0.92826,0.88827,0.93902,0.91279,0.37111,0.38062,0.95496,0.000176094,0.000176094,0.000176094
87,3037.8,0.29602,0.19838,0.88621,0.91377,0.90505,0.93926,0.91375,0.37074,0.38343,0.9545,0.000165095,0.000165095,0.000165095
88,3072.04,0.29458,0.19712,0.88522,0.93395,0.88742,0.93998,0.91366,0.3709,0.38236,0.95571,0.000154096,0.000154096,0.000154096
89,3106.36,0.29463,0.19875,0.88579,0.93169,0.89021,0.9385,0.91163,0.37089,0.3837,0.95694,0.000143097,0.000143097,0.000143097
90,3141.09,0.29546,0.20619,0.88715,0.92241,0.89852,0.93944,0.91336,0.36966,0.38324,0.9537,0.000132098,0.000132098,0.000132098
91,3180.94,0.29231,0.1978,0.8847,0.92459,0.89494,0.93926,0.91383,0.36925,0.38142,0.9559,0.000121099,0.000121099,0.000121099
92,3216.3,0.28969,0.19546,0.88345,0.93278,0.88571,0.94049,0.91464,0.36948,0.38148,0.95501,0.0001101,0.0001101,0.0001101
93,3252.91,0.28995,0.19604,0.88389,0.93286,0.88959,0.94113,0.91521,0.36855,0.38139,0.95459,9.91012e-05,9.91012e-05,9.91012e-05
94,3287.73,0.28831,0.19383,0.88364,0.9298,0.88988,0.93941,0.91399,0.36795,0.38312,0.95425,8.81023e-05,8.81023e-05,8.81023e-05
95,3322.32,0.28698,0.1942,0.88295,0.9249,0.89326,0.93965,0.91307,0.36805,0.38208,0.95478,7.71034e-05,7.71034e-05,7.71034e-05
96,3357.2,0.28333,0.18927,0.88075,0.93031,0.89363,0.94008,0.91386,0.36738,0.38373,0.95415,6.61045e-05,6.61045e-05,6.61045e-05
97,3391.86,0.28481,0.19173,0.88214,0.92896,0.89525,0.94004,0.91499,0.36713,0.38295,0.9544,5.51056e-05,5.51056e-05,5.51056e-05
98,3426.54,0.2851,0.19329,0.88176,0.9294,0.89122,0.93913,0.91382,0.36747,0.38522,0.9543,4.41067e-05,4.41067e-05,4.41067e-05
99,3461.15,0.28347,0.19167,0.88205,0.93104,0.88596,0.93893,0.91344,0.36658,0.38458,0.9549,3.31078e-05,3.31078e-05,3.31078e-05
100,3495.82,0.28231,0.19173,0.8814,0.93624,0.88305,0.93877,0.91372,0.36639,0.38514,0.95441,2.21089e-05,2.21089e-05,2.21089e-05
